index,pcm_t,pcm_h,SP4_t,SP4_h,SP6_t,SP6_h
7753,41.54997,2.432625,41.57119,2.853062,41.56334,2.756757
7754,41.53197,2.431567,41.55444,2.850538,41.54638,2.747964
7755,41.51684,2.430565,41.5375,2.847969,41.52905,2.737963
7756,41.5001,2.429661,41.52043,2.845066,41.51294,2.729038
7757,41.48233,2.428625,41.50332,2.84217,41.49524,2.719982
7758,41.46597,2.427378,41.48697,2.839586,41.47787,2.712331
7759,41.44975,2.426042,41.46952,2.836784,41.46188,2.703688
7760,41.43176,2.424841,41.45242,2.834004,41.44434,2.695453
7761,41.41684,2.423804,41.43597,2.831438,41.427,2.688212
7762,41.4,2.422728,41.41848,2.828776,41.40987,2.680658
7763,41.38264,2.421686,41.4014,2.826074,41.39318,2.672955
7764,41.36666,2.420693,41.38528,2.823416,41.3759,2.665365
7765,41.34904,2.419674,41.36894,2.820839,41.359,2.657544
7766,41.33298,2.418663,41.3526,2.8184,41.34176,2.650736
7767,41.31605,2.417702,41.33557,2.815925,41.32481,2.644056
7768,41.29909,2.416738,41.3185,2.813264,41.30811,2.63494
7769,41.28285,2.41569,41.30172,2.810828,41.29128,2.625863
7770,41.26545,2.414503,41.28506,2.80841,41.27378,2.619069
7771,41.2494,2.413338,41.26886,2.806065,41.25627,2.613291
7772,41.23238,2.412208,41.25106,2.803817,41.24087,2.606818
7773,41.21594,2.41116,41.23497,2.801438,41.22221,2.599431
7774,41.19878,2.41015,41.21788,2.79896,41.20642,2.591595
7775,41.18248,2.409246,41.20152,2.79639,41.18838,2.584504
7776,41.16488,2.408352,41.1842,2.794275,41.17189,2.579273
7777,41.149,2.407436,41.16746,2.791936,41.15459,2.573027
7778,41.13217,2.406538,41.15025,2.789694,41.1375,2.56593
7779,41.11518,2.405638,41.13458,2.787573,41.12094,2.558547
7780,41.09822,2.40469,41.11726,2.785376,41.10366,2.551348
7781,41.08146,2.403776,41.10034,2.783109,41.08662,2.545395
7782,41.06567,2.402844,41.08512,2.780903,41.07006,2.539452
7783,41.04742,2.401954,41.06748,2.778638,41.05278,2.53352
7784,41.031,2.401079,41.04981,2.776276,41.03623,2.527367
7785,41.0148,2.400229,41.03223,2.773953,41.01924,2.520798
7786,40.99803,2.399424,41.01654,2.771646,41.0022,2.515357
7787,40.98196,2.398656,40.99976,2.769541,40.98489,2.509291
7788,40.96435,2.397902,40.98328,2.767481,40.9678,2.503168
7789,40.94795,2.397132,40.9667,2.765438,40.95117,2.497655
7790,40.93161,2.396425,40.94955,2.763289,40.93436,2.492271
7791,40.91406,2.395733,40.93181,2.761189,40.91784,2.486714
7792,40.89765,2.39505,40.91606,2.758835,40.90059,2.481026
7793,40.88162,2.394368,40.89966,2.756463,40.88289,2.475206
7794,40.86504,2.393719,40.88272,2.754278,40.86628,2.46999
7795,40.84735,2.393053,40.86533,2.75224,40.84935,2.464645
7796,40.83094,2.392405,40.84976,2.75026,40.83256,2.458513
7797,40.81448,2.391749,40.83242,2.748195,40.8157,2.4538
7798,40.7977,2.391083,40.81528,2.746099,40.79912,2.448843
7799,40.78079,2.390396,40.79912,2.744349,40.78155,2.44389
7800,40.7647,2.389732,40.78267,2.742814,40.76438,2.438815
7801,40.74852,2.389045,40.76596,2.741002,40.74768,2.433287
7802,40.73141,2.388378,40.74844,2.738965,40.73035,2.42868
7803,40.71459,2.387726,40.7322,2.737148,40.71424,2.424194
7804,40.69793,2.387038,40.71498,2.735428,40.69647,2.419464
7805,40.68129,2.386308,40.6983,2.733584,40.67972,2.414493
7806,40.66404,2.38561,40.68127,2.731598,40.6632,2.409078
7807,40.64753,2.384971,40.66561,2.729834,40.64618,2.404841
7808,40.63074,2.384374,40.64853,2.728273,40.62929,2.400008
7809,40.6142,2.383814,40.63137,2.72647,40.61365,2.395285
7810,40.59786,2.383256,40.61565,2.724741,40.59509,2.390922
7811,40.58047,2.38269,40.59863,2.723144,40.57954,2.385992
7812,40.56458,2.382122,40.58031,2.721482,40.56232,2.381822
7813,40.54703,2.381564,40.56458,2.71979,40.54542,2.377746
7814,40.53134,2.381001,40.54736,2.718274,40.52874,2.37361
7815,40.51419,2.380435,40.531,2.716812,40.5113,2.369294
7816,40.49808,2.379866,40.51475,2.71533,40.49454,2.365092
7817,40.48047,2.379295,40.49765,2.713608,40.47794,2.360995
7818,40.46456,2.378722,40.4811,2.711737,40.46086,2.3564
7819,40.44759,2.378145,40.4642,2.709971,40.44433,2.35208
7820,40.43097,2.377566,40.44762,2.70824,40.42713,2.347931
7821,40.41371,2.376984,40.43164,2.70666,40.41046,2.343927
7822,40.39742,2.376394,40.41328,2.705106,40.39402,2.339934
7823,40.3815,2.375799,40.39761,2.70353,40.37644,2.335952
7824,40.364,2.375204,40.38078,2.7021,40.3596,2.332072
7825,40.34793,2.374608,40.364,2.700758,40.34312,2.328269
7826,40.33081,2.374014,40.34687,2.699384,40.32632,2.324739
7827,40.31439,2.37342,40.3305,2.698017,40.30966,2.320734
7828,40.29778,2.372821,40.31391,2.696533,40.29259,2.316976
7829,40.28096,2.37222,40.29662,2.695064,40.27606,2.313412
7830,40.26341,2.37162,40.28014,2.693622,40.2585,2.309429
7831,40.24727,2.37102,40.26311,2.692152,40.24122,2.305821
7832,40.23033,2.37042,40.24668,2.690639,40.22532,2.30257
7833,40.2144,2.36982,40.23088,2.689274,40.20825,2.299107
7834,40.19766,2.369212,40.2129,2.687932,40.19118,2.29576
7835,40.18081,2.368596,40.19615,2.686378,40.17582,2.292633
7836,40.16423,2.367975,40.179,2.684842,40.158,2.288971
7837,40.14625,2.367353,40.16278,2.683459,40.14066,2.28573
7838,40.1311,2.36673,40.14562,2.682169,40.12394,2.282498
7839,40.11389,2.366104,40.12946,2.68092,40.10697,2.27911
7840,40.09764,2.365484,40.11251,2.6797,40.0908,2.276025
7841,40.07976,2.364866,40.09708,2.678486,40.07329,2.27284
7842,40.0635,2.36425,40.07845,2.677102,40.05752,2.269795
7843,40.04736,2.36364,40.06317,2.675652,40.03884,2.266824
7844,40.03048,2.36303,40.04539,2.674258,40.02333,2.263842
7845,40.01456,2.362425,40.02983,2.672966,40.00648,2.260704
7846,39.99725,2.36182,40.01163,2.671781,39.98975,2.257556
7847,39.98052,2.361216,39.99632,2.670581,39.97311,2.25459
7848,39.96294,2.360613,39.97869,2.669311,39.95622,2.252024
7849,39.94671,2.36001,39.96232,2.668009,39.93897,2.248844
7850,39.93,2.359408,39.94642,2.666742,39.92221,2.245652
7851,39.91339,2.358806,39.93002,2.665588,39.90562,2.242689
7852,39.89728,2.358209,39.9129,2.664324,39.88926,2.239836
7853,39.87958,2.357612,39.89606,2.663041,39.87231,2.237042
7854,39.86324,2.357016,39.87909,2.6618,39.85498,2.234215
7855,39.84642,2.356421,39.86162,2.660686,39.8382,2.23167
7856,39.82997,2.355822,39.8458,2.659529,39.82174,2.22904
7857,39.81325,2.355224,39.82852,2.658381,39.80565,2.226222
7858,39.79716,2.354626,39.8118,2.657186,39.78886,2.223475
7859,39.78087,2.354025,39.79572,2.655912,39.77149,2.220513
7860,39.7636,2.353418,39.77844,2.654638,39.7543,2.217727
7861,39.74622,2.35281,39.7629,2.653332,39.73781,2.215123
7862,39.73074,2.352202,39.74566,2.651963,39.72062,2.212671
7863,39.71365,2.351596,39.72884,2.650685,39.70414,2.209734
7864,39.69712,2.350992,39.7118,2.649555,39.6872,2.206852
7865,39.68058,2.350392,39.6948,2.648356,39.67028,2.204064
7866,39.66379,2.349793,39.67824,2.647184,39.65369,2.201592
7867,39.64672,2.349194,39.66196,2.646073,39.63665,2.199222
7868,39.63086,2.348596,39.64496,2.644914,39.61972,2.196416
7869,39.61343,2.348,39.62748,2.643726,39.60328,2.193715
7870,39.59654,2.347405,39.61204,2.642638,39.58616,2.191254
7871,39.58041,2.346808,39.5952,2.641582,39.56916,2.18852
7872,39.56318,2.346213,39.57787,2.640568,39.55253,2.185804
7873,39.5469,2.345621,39.56166,2.639604,39.5361,2.18333
7874,39.53047,2.345033,39.54478,2.638687,39.51985,2.18075
7875,39.51311,2.344442,39.52762,2.637717,39.50274,2.178322
7876,39.4965,2.343852,39.51146,2.63673,39.48558,2.175735
7877,39.48032,2.343262,39.49383,2.635767,39.46908,2.173274
7878,39.46259,2.342673,39.4775,2.634823,39.45274,2.170999
